date,layman__oil_price,layman__gas_price,layman__mortgage_rate,layman__housing_prices,layman__grocery_index,layman__retail_sales,layman__electricity_cost_index,layman__used_car_prices,layman__minimum_wage_trend,layman__water_bill_index,linchpin__cpi_inflation,linchpin__unemployment_rate,linchpin__federal_funds_rate
2000-01-31,27.65,1.316,8.25,100.0,166.3,268044.0,117.3,153.9,5.15,123.0,169.3,4.0,5.45
2000-02-29,30.57,1.421,8.31,100.571,166.3,272020.0,117.7,153.0,5.15,124.0,170.0,4.1,5.73
2000-03-31,26.86,1.508,8.23,101.466,166.4,275192.0,117.6,153.0,5.15,124.2,171.0,4.0,5.85
2000-04-30,25.71,1.437,8.13,102.541,166.5,271046.0,118.8,154.0,5.15,124.1,170.9,3.8,6.02
2000-05-31,29.03,1.54,8.62,103.702,167.5,271394.0,120.1,155.4,5.15,125.0,171.2,4.0,6.27
2000-06-30,32.44,1.658,8.22,104.856,167.3,273422.0,128.3,155.7,5.15,133.2,172.2,4.0,6.53
2000-07-31,27.5,1.471,8.13,105.722,168.3,272630.0,133.2,155.3,5.15,135.3,172.7,4.0,6.54
2000-08-31,33.09,1.481,7.99,106.522,168.9,272918.0,132.1,155.2,5.15,134.8,172.7,4.1,6.5
2000-09-30,30.87,1.548,7.88,107.136,169.0,277548.0,139.7,156.2,5.15,135.0,173.6,3.9,6.52
2000-10-31,32.7,1.545,7.68,107.729,169.1,276927.0,148.1,157.9,5.15,129.4,173.9,3.9,6.51
2000-11-30,33.61,1.51,7.73,108.292,168.8,276029.0,151.1,159.3,5.15,126.8,174.2,3.9,6.51
2000-12-31,26.72,1.414,7.13,108.792,170.2,275791.0,160.1,160.2,5.15,126.9,174.6,3.9,6.4
2001-01-31,28.62,1.46,7.15,109.215,171.3,278834.0,186.9,160.4,5.15,129.7,175.6,4.2,5.98
2001-02-28,27.35,1.431,7.12,109.643,171.8,278773.0,181.8,160.4,5.15,129.6,176.0,4.2,5.49
2001-03-31,26.37,1.404,6.91,110.394,172.0,276450.0,175.3,159.9,5.15,130.5,176.1,4.3,5.31
2001-04-30,28.48,1.626,7.12,111.248,172.2,280808.0,171.7,159.7,5.15,130.6,176.4,4.4,4.8
2001-05-31,28.39,1.704,7.2,112.203,172.8,281496.0,171.9,159.1,5.15,133.8,177.3,4.3,4.21
2001-06-30,26.37,1.538,7.11,113.273,173.3,280401.0,161.6,158.9,5.15,146.6,177.7,4.5,3.97
2001-07-31,26.7,1.384,7.03,114.227,173.9,279504.0,154.3,158.3,5.15,148.7,177.4,4.6,3.77
2001-08-31,26.65,1.488,6.92,114.989,174.2,281413.0,148.2,158.0,5.15,147.6,177.4,4.9,3.65
2001-09-30,23.44,1.485,6.72,115.465,174.3,276084.0,140.9,157.3,5.15,146.5,178.1,5.0,3.07
2001-10-31,21.2,1.235,6.64,115.681,175.2,294540.0,132.3,157.8,5.15,139.9,177.6,5.3,2.49
2001-11-30,19.46,1.127,7.02,115.838,174.7,287111.0,138.3,157.4,5.15,135.4,177.5,5.5,2.09
2001-12-31,19.96,1.096,7.16,116.055,174.7,283705.0,136.0,157.2,5.15,134.6,177.4,5.7,1.82
2002-01-31,19.71,1.101,6.96,116.437,176.2,283508.0,136.3,155.6,5.15,133.1,177.7,5.7,1.73
