date,layman__consumer_credit,layman__auto_loan_rate,layman__student_debt_level,layman__rental_vacancy_rate,layman__fast_food_price_index,layman__concert_ticket_index,layman__airfare_index,layman__education_childcare_index,layman__public_transit_fares,layman__streaming_cost_index
2000-01-31,1538520.18,8.88,305382.80981697736,7.9,153.9,273.3,221.8,316.3,202.6,260.7
2000-02-29,1549185.29,8.88,310460.91604264907,7.9,153.0,276.2,230.2,317.8,205.0,261.8
2000-03-31,1561450.69,9.22,316300.98746247997,7.9,153.0,275.5,240.7,319.3,208.1,263.5
2000-04-30,1570527.74,9.22,320622.95170998725,8.0,154.0,276.4,239.5,320.8,207.2,263.9
2000-05-31,1583507.92,9.22,326803.3598697098,8.0,155.4,277.6,241.3,322.2,209.2,264.6
2000-06-30,1609548.04,9.62,339202.15327073785,8.0,155.7,278.4,245.0,324.6,211.1,265.9
2000-07-31,1629751.44,9.62,348821.8394549154,8.2,155.3,279.8,246.8,325.8,210.3,266.6
2000-08-31,1651615.4,9.62,359232.187908315,8.2,155.2,281.2,250.4,325.3,213.6,268.7
2000-09-30,1669000.81,9.64,367510.11085114954,8.2,156.2,283.9,244.9,326.3,212.7,270.2
2000-10-31,1684599.32,9.64,374937.2157513524,7.8,157.9,284.2,236.3,328.2,208.5,271.3
2000-11-30,1700944.54,9.64,382719.8606037705,7.8,159.3,285.5,238.0,329.5,212.5,272.1
2000-12-31,1716969.72,9.17,390350.1209879117,7.8,160.2,287.1,238.2,331.0,213.1,272.4
2001-01-31,1729851.68,9.17,396483.7624857352,8.2,160.4,288.6,239.0,332.2,214.0,272.9
2001-02-28,1748702.02,9.17,405459.2000489697,8.2,160.4,288.2,242.0,333.5,213.5,274.0
2001-03-31,1760541.84,8.67,411096.63497958286,8.2,159.9,289.3,238.6,335.1,209.4,275.5
2001-04-30,1773098.33,8.67,417075.3065583649,8.3,159.7,290.5,235.5,336.7,207.8,276.6
2001-05-31,1781177.46,8.67,420922.1192354972,8.3,159.1,291.6,237.5,338.5,207.8,277.6
2001-06-30,1792368.09,8.3,426250.44757643214,8.3,158.9,294.7,249.3,340.1,213.3,277.2
2001-07-31,1797350.57,8.3,428622.8152976544,8.4,158.3,296.7,248.8,341.6,211.9,279.2
2001-08-31,1806359.04,8.3,432912.12573053094,8.4,158.0,299.2,244.3,343.5,210.8,280.0
2001-09-30,1814252.38,7.86,436670.475995586,8.4,157.3,304.1,242.5,345.0,211.8,280.5
2001-10-31,1829840.26,7.86,444092.519506907,8.8,157.8,305.8,236.4,347.0,209.9,281.5
2001-11-30,1857842.79,7.86,457425.6986234428,8.8,157.4,305.8,230.0,348.7,208.7,282.3
2001-12-31,1867852.87,7.8,462191.9175904738,8.8,157.2,296.7,229.0,350.4,208.3,283.2
2002-01-31,1867418.69,7.8,461985.18628052354,9.1,155.6,302.9,236.7,351.9,209.7,286.3
2002-02-28,1881905.37,7.8,468882.90228132554,9.1,153.9,312.2,235.3,353.7,209.5,289.2
2002-03-31,1894690.33,7.74,474970.35801042384,9.1,152.1,313.2,233.3,355.5,208.3,289.8
2002-04-30,1903957.99,7.74,479383.07967418607,8.4,151.8,314.8,234.5,357.1,209.8,291.3
2002-05-31,1914613.99,7.74,484456.8482467332,8.4,151.8,316.9,237.7,358.9,210.1,292.4
2002-06-30,1927180.98,7.58,490440.51931594417,8.4,152.2,318.3,231.3,361.2,207.1,294.5
2002-07-31,1939211.4,7.58,496168.7069013929,9.0,152.7,319.9,227.5,363.1,204.6,296.8
2002-08-31,1947500.09,7.58,500115.2998846498,9.0,153.4,320.5,230.2,365.0,206.3,296.2
2002-09-30,1950651.39,7.34,501615.76599788805,9.0,152.2,321.8,228.7,367.1,205.6,297.4
2002-10-31,1957151.3,7.34,504710.6457916554,9.3,150.7,321.4,225.7,368.7,204.5,300.0
2002-11-30,1965179.13,7.34,508533.0323869772,9.3,148.8,324.6,227.8,370.4,205.7,302.1
2002-12-31,1972112.21,7.11,511834.1625873295,9.3,148.5,324.4,230.0,372.0,206.9,303.7
2003-01-31,1982561.31,7.11,516809.41739132744,9.4,148.3,329.3,228.7,374.2,206.3,304.4
2003-02-28,1993405.69,7.11,521972.8815835907,9.4,148.4,330.7,228.5,376.2,206.1,305.1
2003-03-31,2001208.15,7.05,525687.9600686278,9.4,148.5,331.5,230.7,378.2,207.5,305.3
2003-04-30,2014099.78,7.05,531826.2058590656,9.6,148.4,331.9,229.4,380.5,206.8,305.7
2003-05-31,2027502.51,7.05,538207.8077979106,9.6,147.9,333.1,230.0,382.5,209.2,307.9
2003-06-30,2033268.41,6.76,540953.194642172,9.6,147.4,334.7,231.3,384.3,209.9,309.5
2003-07-31,2040064.39,6.76,544189.0457817796,9.9,145.7,336.6,232.6,386.4,210.7,310.8
2003-08-31,2049124.34,6.76,548502.8680020168,9.9,143.3,338.5,233.4,391.2,210.6,311.4
2003-09-30,2057090.79,6.82,552296.0290047164,9.9,139.0,337.1,233.2,393.7,210.9,311.6
2003-10-31,2065495.1,6.82,556297.6735197261,10.2,135.1,339.3,234.3,395.4,212.1,312.9
2003-11-30,2066400.09,6.82,556728.5772190945,10.2,132.0,337.1,232.5,397.1,211.2,314.5
2003-12-31,2077360.69,6.72,561947.3786282779,10.2,131.0,345.2,230.4,399.5,210.0,314.9
2004-01-31,2088243.04,6.72,567128.9219302165,10.4,131.8,345.0,232.5,402.1,210.8,316.0
2004-02-29,2095340.36,6.72,570508.2536837178,10.4,131.8,346.6,232.4,404.2,211.0,317.6
